Relação Vitima x Suspeito,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez, Total
Amigo(a),78,59,62,57,42,39,36,56,35,44,33,17,558
Avó,11,15,4,8,11,4,3,3,8,2,3,4,76
Avô,3,3,1,5,3,4,2,5,3,6,4,3,42
Bisneto(a),2,9,3,1,0,1,1,1,0,0,1,1,20
Chefe,0,0,7,15,10,11,8,16,11,15,12,6,111
Companheiro (a),2746,2191,2296,2223,2220,1863,2008,2317,2158,2327,1998,999,25346
Cônjuge,985,736,906,728,775,704,695,831,763,787,801,403,9114
Cuidador (a),15,10,12,5,6,8,3,5,2,7,5,2,80
Cunhado(a),154,124,127,121,127,110,104,107,92,114,96,45,1321
Desconhecido(a),397,311,308,267,286,254,221,318,341,302,262,116,3383
Diretor(a) de escola,1,4,1,3,1,2,1,0,0,0,2,0,15
Diretor(a) de Unidade Prisional,0,0,0,0,1,0,0,2,0,0,1,0,4
Empregado (a),6,6,4,3,3,6,5,4,2,1,5,2,47
Empregador,44,32,29,11,10,8,7,12,11,8,10,6,188
Enteado(a),24,16,15,26,15,17,14,11,13,22,18,8,199
Ex Companheiro (a),1378,1089,1254,1080,1071,917,1047,1147,1188,1115,1036,601,12923
Ex Cônjuge,313,246,308,224,238,239,216,273,236,222,224,150,2889
Ex Namorado (a),386,340,372,337,306,242,278,310,323,274,303,172,3643
Familiares,38,28,23,21,26,17,14,26,18,23,24,13,271
Filho (a),795,619,588,506,488,403,417,476,452,471,451,279,5945
Genro/Nora,75,52,61,37,44,44,34,57,46,61,41,16,568
Irmão (ã),332,278,262,235,218,204,216,254,241,240,210,113,2803
Líder Religioso,14,7,4,9,3,0,2,2,3,2,2,1,49
Madrasta,5,8,4,5,3,3,4,2,6,4,4,0,48
Mãe,88,102,102,76,92,61,62,58,75,67,56,28,867
Namorado(a),198,134,194,149,175,176,152,155,153,147,180,68,1881
Não Informado,660,565,616,440,521,422,373,626,604,480,421,205,5933
Neto(a),60,34,50,30,36,25,36,26,39,34,27,17,414
Padrasto,49,31,51,23,22,33,22,28,24,29,23,12,347
Padrinho/Madrinha,0,1,1,0,0,2,0,1,1,1,1,0,8
Pai,83,70,62,74,74,56,53,75,79,82,55,41,804
Primo(a),46,33,28,36,21,23,19,27,21,20,25,15,314
Professor(a),0,2,5,3,3,1,3,3,3,8,6,3,40
Própria vítima,1,0,1,1,0,0,0,0,1,0,0,1,5
Sobrinho(a),52,51,49,25,49,27,31,39,31,27,22,17,420
Sogro(a),28,27,20,28,26,26,24,30,21,19,21,6,276
Subordinado,4,0,2,1,0,1,1,1,2,1,2,0,15
Tio (a),67,57,34,32,39,45,33,38,41,26,27,23,462
Vizinho (a),411,379,574,398,344,302,297,286,265,292,276,159,3983
