Violacao,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Ameaça,371,350,331,269,275,248,263,250,228,277,261,133
Cárcere Privado,308,227,203,190,180,135,165,169,143,336,308,147
Feminicídio,12,13,6,5,4,2,8,4,4,2,1,0
Tentativa de Feminicídio,795,592,407,329,376,256,272,372,247,35,24,10
Trabalho Escravo,3,4,4,1,0,2,0,1,1,0,1,0
Tráfico de Mulheres,3,1,2,4,5,1,4,8,1,1,4,4
Violência no Esporte,0,0,0,0,0,0,0,0,0,0,0,0
Violência contra Diversidade Religiosa,1,5,2,0,1,2,1,0,0,2,1,0
Violência Doméstica e Familiar (Total),7004,5547,6644,5750,5759,5065,5205,6223,6109,5831,5391,2910
Descumprimento de Medidas Protetivas,246,191,219,207,189,156,222,245,273,313,291,174
Tentativa de Feminicídio,N/A,N/A,229,204,191,163,188,203,421,1066,939,499
Tentativa de Homicídio,N/A,N/A,N/A,8,0,0,6,4,0,0,0,0
Violência Física,4654,3591,4085,3609,3657,3263,3328,3890,3822,3050,2777,1482
Violência Moral,1344,1153,1518,1220,1174,1059,981,1353,1163,964,958,500
Violência Patrimonial,194,167,146,136,149,101,115,130,73,98,108,67
Violência Psicológica,494,404,365,312,334,271,312,331,285,309,295,175
Violência Sexual,72,41,82,54,65,52,53,67,72,31,23,13
Violência Física,241,220,201,158,163,122,107,139,124,190,159,73
Violência Moral,407,358,338,298,265,255,241,253,245,358,316,148
Violência Obstétrica,33,32,13,9,16,13,14,7,9,8,7,3
Violência Policial,88,79,69,42,58,49,32,28,26,43,36,16
Violência Sexual,238,206,181,161,189,134,114,153,153,180,166,103
Violência Virtual,45,35,39,27,18,16,16,21,22,17,13,5
